title,genre,rating,year_release,language,director
4 Days in Caldera,Romance,3.9,2000,Polish,Isha Basu
Return to Valoria,Western,4.9,2005,Cantonese,Arun Yamamoto
7 Days in Kandara,Documentary,8.0,1981,Tamil,Mina Chakraborty
Haunted Empire,Romance,8.0,1974,Persian,Elena Silva
Return to Valoria,Family,7.4,2004,Japanese,Yara Verma
21 Days in Orion,Horror,7.7,1987,Vietnamese,Lea Patel
Midnight Garden,Romance,2.3,1999,Persian,Mikhail Hansen
Riddle of Aramore,Mystery,4.6,1997,Italian,Nadia Iyer
The Frozen Myth,Sci-Fi,5.3,2007,Malayalam,Vikram Verma
The First Labyrinth,Romance,3.6,1988,Marathi,Ravi Ionescu
Canvas of Aramore,Sci-Fi,3.4,1974,Vietnamese,Seojun Rossi
9 Days in Nerida,Sport,7.0,1997,Japanese,Li Kowalski
Embracing the Crown,Crime,8.1,1986,Mandarin,Noah Novak
Beacon of Caldera,Documentary,3.4,2007,Bulgarian,Mikhail Basu
Golden Feather,Fantasy,6.7,2001,Bulgarian,Jonas Santos
Return to Kandara,Comedy,6.7,2023,French,Aisha Horváth
Silent Whisper,War,7.0,1994,Romanian,Aarav Zhang
Return to Aramore,Crime,8.0,1997,Filipino,Mikhail Verma
40 Days in Arcadia,Action,8.0,1992,Japanese,Ali Nowak
Crossing the Odyssey,Comedy,7.2,1968,Danish,Ravi Nguyen
9 Days in Avalon,Historical,5.8,2003,Danish,Marta Johansson
Chasing the Beacon,Western,5.0,1994,Portuguese,Ingrid Iyer
Becoming the Labyrinth,Animation,7.1,2010,Thai,Ananya Levy
Silent Fortress,Musical,7.3,1978,Bengali,Aarav Zhang
The Silent Flame,Family,6.4,1958,Arabic,Rohan Petrescu
Curious Crown,Animation,6.9,1988,Turkish,Chang Iyer
The Dark Crown,Thriller,5.5,1972,French,Karan Petrescu
Broken Garden,Action,7.7,1967,Russian,Arun Romero
8 Days in Drakenfell,Drama,5.6,2023,Russian,Karan Nowak
Embracing the Garden,Crime,1.9,2009,Cantonese,Ali Ivanov
40 Days in Nerida,Western,7.2,1962,Malayalam,Karan Kowalski
Crown of Orion,Comedy,3.5,1975,Tamil,Hiro Kapoor
Dream of Solace,Comedy,7.4,1983,Arabic,Seojun Papadopoulos
Crimson Flame,Animation,7.6,1980,Marathi,Arun Costa
The Emerald Garden,Crime,7.9,1994,Ukrainian,Carlos Ivanov
Seeking the Storm,Romance,4.3,2001,Romanian,Mikhail Singh
Remembering the Mirror,Horror,7.5,2005,Romanian,Jiwoo Santos
Silent Myth,Adventure,2.0,1985,German,Isha Rossi
The Lone Voyage,Drama,7.8,1968,Filipino,Nadia Petrov
Breaking the Legacy,Mystery,6.7,1984,Telugu,Isha Ionescu
Odyssey of Solace,Comedy,7.1,2014,Japanese,Ingrid Garcia
Echo of Ravenna,Sport,9.0,1971,Hebrew,Zara Petrescu
Path of Nerida,War,8.8,1972,Polish,Lea Yamamoto
Sacred Garden,Romance,5.9,1976,German,Aisha Kuznetsov
Harbor of Valoria,Sport,6.4,1982,Mandarin,Ali Levy
Return to Vesper,Animation,5.5,2018,Malayalam,Ravi Ivanov
Silent Legacy,Comedy,9.4,2007,Czech,Elena Novak
Return to Aramore,Animation,7.0,1993,Arabic,Yara Verma
33 Days in Arcadia,Biography,5.2,2011,Romanian,Arun Gupta
The Last Feather,Adventure,3.7,2019,Ukrainian,Mikhail Santos
The Wild Beacon,Sport,7.1,1957,Romanian,Karan Kowalski
The Restless Mask,Noir,4.1,1955,Russian,Piotr Khan
Return to Kandara,Romance,5.4,1999,Kannada,Ali Nguyen
Emerald Fortress,Action,4.5,1978,Bengali,Maya Nowak
Crossing the Harbor,Thriller,9.7,1964,Hungarian,Rohan Nowak
Hidden Harbor,Western,2.7,1970,Finnish,Omar Hansen
Haunted Promise,Horror,7.1,1999,Vietnamese,Nadia Rossi
Bright Pulse,War,4.2,2012,Czech,Aisha Johansson
10 Days in Arcadia,Fantasy,8.0,2024,Kannada,Zara Basu
Flame of Solace,Family,7.4,2022,Kannada,Noah Kowalski
Radiant Canvas,Mystery,6.2,2020,Portuguese,Karan Kuznetsov
Surviving the Shadow,Crime,4.6,1971,Vietnamese,Elena Kim
Return to Avalon,Historical,7.4,1973,Persian,Zara Santos
Return to Drakenfell,Sci-Fi,5.2,2011,Thai,Ingrid Kuznetsov
The Fallen Horizon,Romance,6.5,1986,Persian,Elena Haddad
Empire of Veridian,Adventure,5.3,2011,Cantonese,Li Romero
Fortress of Drakenfell,Romance,5.5,2003,Serbian,Zara Sharma
Forgiving the Chronicle,Western,8.1,1959,Hindi,Seojun Verma
Return to Eldoria,Comedy,8.6,2018,Finnish,Hiro Chakraborty
Surviving the Flame,Comedy,8.5,1964,Thai,Seojun Santos
27 Days in Arcadia,Family,8.2,1999,French,Fatima Khan
Surviving the Chronicle,Crime,7.5,1987,Marathi,Marta Haddad
Fading River,Biography,7.5,1975,Hungarian,Yara Papadopoulos
Brave Legacy,Musical,4.7,1993,Arabic,Isha Santos
Return to Vesper,Documentary,4.8,2008,Tamil,Luca Rossi
The Last Harbor,War,9.9,2006,Russian,Vikram Nguyen
Remembering the Riddle,Comedy,7.1,1957,Tamil,Aarav Garcia
Feather of Solace,Action,7.0,2022,Hindi,Ananya Sarkar
Last Dream,War,7.1,2018,Filipino,Ingrid Iyer
Awakening the Canvas,Thriller,6.9,1979,Telugu,Sofia Ionescu
Return to Ravenna,Romance,4.6,1967,Greek,Li Petrov
Becoming the Feather,Sport,4.4,2008,Romanian,Zara Santos
The Wild River,War,6.0,1972,Marathi,Sofia Basu
The Golden Riddle,Mystery,6.6,2011,Spanish,Jiwoo Petrescu
The Secret Fortress,Mystery,1.7,1997,Italian,Mikhail Garcia
Return to Caldera,Sci-Fi,7.2,1969,Greek,Fatima Kim
Awakening the Labyrinth,Animation,7.9,2021,Bulgarian,Karan Sarkar
The Haunted Legacy,Historical,4.8,2007,Marathi,Elena Nakamura
Breaking the Mirror,Comedy,6.2,1970,Mandarin,Mikhail Nguyen
Return to Eldoria,Thriller,5.5,1998,Hindi,Mina Tanaka
Saving the Labyrinth,Biography,3.6,2016,English,Fatima Kowalski
Silent Fortress,Mystery,8.8,1981,Hebrew,Ali Iyer
Frozen Flame,Noir,7.2,2013,Hebrew,Mina Santos
The Restless Echo,Thriller,6.0,1959,Portuguese,Nadia Iyer
Bright Labyrinth,Family,6.4,1968,Turkish,Ingrid Ionescu
Silent Beacon,Historical,7.5,2024,English,Ingrid Sharma
Remembering the Pulse,Adventure,2.8,1953,Hungarian,Nadia Chakraborty
16 Days in Orion,Crime,3.6,1994,Kannada,Sofia Nguyen
9 Days in Ravenna,War,9.8,1995,Serbian,Karan Novak
Chasing the Harbor,Documentary,3.9,1963,Marathi,Carlos Papadopoulos
Fortress of Vesper,War,7.1,1967,Thai,Chang Nakamura
The Bright Labyrinth,Family,9.7,2006,Finnish,Diego Sarkar
Breaking the Path,Family,5.7,2004,Arabic,Noah Tanaka
The Ancient Fortress,Drama,5.3,1983,Tamil,Omar Silva
Mask of Aramore,Drama,7.0,1973,Telugu,Marta Horváth
The Broken Fortress,Animation,2.1,1966,English,Zara Papadopoulos
Sacred Whisper,Horror,4.9,2020,Hindi,Rohan Hansen
13 Days in Avalon,Historical,8.9,2004,Cantonese,Noah Sheikh
40 Days in Valoria,Thriller,8.1,1975,Swedish,Chang Romero
Return to Vesper,Thriller,8.9,1988,Turkish,Sofia Patel
Dream of Nerida,Sport,1.6,1990,Persian,Zara Petrov
Return to Veridian,Sport,7.2,1956,Mandarin,Sofia Petrov
Garden of Avalon,Sport,6.9,2014,Arabic,Ali Garcia
Becoming the Canvas,Musical,6.9,2014,Czech,Kenji Horváth
4 Days in Ravenna,Adventure,6.9,2021,Tamil,Noah Khan
The Silent Song,Horror,3.2,1990,Hindi,Li Patel
The Crimson Pulse,Biography,6.6,1970,Indonesian,Seojun Papadopoulos
Return to Arcadia,Noir,3.8,1952,Telugu,Hiro Levy
50 Days in Avalon,Mystery,2.2,1975,Polish,Zara Sarkar
10 Days in Lunaris,Romance,9.2,1992,Bulgarian,Sofia Basu
3 Days in Valoria,Biography,8.2,2024,Italian,Zara Garcia
Labyrinth of Nerida,Drama,5.6,2007,Finnish,Ravi Zhang
Canvas of Ravenna,Documentary,4.6,2011,Turkish,Ananya Costa
Beacon of Veridian,Romance,7.2,1967,Swedish,Rohan Garcia
The Silent Garden,Adventure,6.6,1970,Vietnamese,Chang Verma
Saving the Beacon,Comedy,4.9,1973,Romanian,Diego Horváth
The Azure Song,Action,4.9,1976,Ukrainian,Priya Basu
Crimson Voyage,Mystery,6.0,1965,Kannada,Fatima Romero
Unlocking the Chronicle,Noir,6.4,1986,Polish,Marta Ionescu
Return to Orion,Adventure,6.6,1964,Malayalam,Isha Hansen
Awakening the Feather,Comedy,7.8,1991,Czech,Li Chakraborty
50 Days in Arcadia,Comedy,6.4,1986,Romanian,Nadia Ivanov
Fading Horizon,Crime,7.6,2021,Hungarian,Noah Kim
Legacy of Caldera,War,9.1,2001,French,Lea Sheikh
Secret Legacy,Noir,5.6,1971,Finnish,Marta Romero
Myth of Kandara,Sci-Fi,5.9,2012,Mandarin,Ravi Chakraborty
Promise of Kandara,Biography,4.8,1990,Norwegian,Carlos Levy
Return to Veridian,Action,8.5,1999,Filipino,Kenji Haddad
Return to Arcadia,Noir,8.6,1959,Thai,Anika Sheikh
Hidden Feather,Sport,7.7,1969,Finnish,Aisha Khan
Unlocking the Mask,Sci-Fi,9.4,1951,Bengali,Luca Papadopoulos
Finding the Feather,Comedy,6.0,1986,Kannada,Hiro Petrescu
Return to Orion,Comedy,8.1,1954,Korean,Neha Santos
Secret Orbit,Thriller,7.3,1965,Marathi,Piotr Iyer
Embracing the Labyrinth,Sport,6.4,1970,Malayalam,Arun Verma
7 Days in Avalon,Animation,2.7,1985,Marathi,Yara Basu
Shadow of Kandara,Drama,3.4,2021,Cantonese,Marta Sharma
Return to Eldoria,Biography,8.5,1952,Portuguese,Seojun Ivanov
Crimson Song,Historical,6.4,2013,Dutch,Li Nowak
Voyage of Eldoria,Horror,5.2,2024,Bengali,Isha Kapoor
3 Days in Vesper,Drama,8.5,1995,Ukrainian,Jiwoo Kim
Empire of Aramore,Sport,5.8,1968,Malayalam,Rohan Ionescu
The Forgotten Legacy,Crime,4.9,2012,English,Fatima Chakraborty
Wild Beacon,Romance,3.5,1970,Polish,Zara Verma
Flame of Drakenfell,Drama,5.2,1950,Tamil,Sofia Santos
Whisper of Solace,Crime,4.6,1969,Serbian,Ali Khan
Garden of Ravenna,Sci-Fi,6.5,1963,Hebrew,Jiwoo Sarkar
Pulse of Caldera,Mystery,6.4,2010,Arabic,Arun Verma
Storm of Kandara,Historical,7.7,1982,Vietnamese,Isha Silva
Remembering the Horizon,Biography,5.1,2024,Norwegian,Elena Novak
Return to Aramore,Horror,8.1,2013,Telugu,Fatima Levy
Return to Eldoria,War,6.3,2014,Hungarian,Fatima Chakraborty
Leaving the Horizon,War,6.3,1995,Korean,Diego Haddad
The Sacred Canvas,Adventure,5.8,1968,Hebrew,Ingrid Novak
Ancient Odyssey,Horror,3.5,1951,Cantonese,Anika Tanaka
River of Veridian,Drama,5.5,1953,Kannada,Ali Garcia
The Wild Beacon,Comedy,2.6,1981,Russian,Karan Levy
Mask of Nerida,Western,4.3,1972,Italian,Jamal Fernandes
Fading Song,Noir,8.8,2002,Danish,Ali Zhang
5 Days in Kandara,Noir,3.5,2013,Thai,Lea Levy
Chasing the Legacy,Crime,7.3,2012,Serbian,Ingrid Singh
3 Days in Solace,Musical,2.5,1998,Italian,Hiro Iyer
The Bright Mirror,War,8.7,2024,Hungarian,Rohan Ivanov
Return to Caldera,Documentary,7.7,1987,Bulgarian,Noah Garcia
50 Days in Eldoria,Thriller,6.8,1965,Italian,Seojun Horváth
The Emerald Shadow,Horror,3.5,1961,Czech,Seojun Zhang
Return to Arcadia,Documentary,7.6,2001,Czech,Piotr Gupta
The Fierce Path,Documentary,7.3,2008,Russian,Neha Kim
Burning Crown,Noir,3.8,2021,Hebrew,Fatima Nguyen
Return to Vesper,Fantasy,8.6,1976,Japanese,Omar Gupta
Flame of Vesper,Action,2.8,1966,Italian,Piotr Petrov
The Restless Mask,Fantasy,7.8,1961,Japanese,Carlos Petrov
Saving the Flame,Fantasy,8.1,1966,Kannada,Noah Park
River of Aramore,Musical,7.2,1979,Vietnamese,Jamal Silva
50 Days in Eldoria,Animation,5.0,1989,Persian,Ali Santos
Shadow of Drakenfell,Fantasy,2.0,1988,Tamil,Noah Chakraborty
Golden Legacy,Drama,6.1,2008,Arabic,Maya Johansson
The Bright Path,Sci-Fi,8.5,1972,Ukrainian,Maya Costa
Labyrinth of Lunaris,Historical,9.2,1956,Bulgarian,Aisha Sharma
Return to Arcadia,Mystery,3.5,2020,Dutch,Jiwoo Sarkar
The Curious Labyrinth,Crime,5.7,1992,Portuguese,Karan Garcia
Burning Legacy,Drama,6.0,1974,Hindi,Piotr Sheikh
Mirror of Vesper,Historical,5.9,2008,Portuguese,Seojun Sarkar
River of Nerida,Family,8.3,1964,Persian,Luca Sheikh
Forgiving the Riddle,Animation,6.9,1993,Japanese,Luca Singh
8 Days in Lunaris,Musical,7.3,2010,Dutch,Isha Chakraborty
3 Days in Avalon,Musical,4.0,1989,Thai,Vikram Khan
Leaving the Riddle,Western,6.7,2000,Vietnamese,Seojun Kuznetsov
Breaking the Song,Family,4.6,1998,Russian,Ananya Fernandes
The Forgotten River,Crime,2.3,1953,Hebrew,Diego Fernandes
Shadow of Solace,Sport,8.1,2007,Hungarian,Jamal Iyer
The Sacred Mask,Sci-Fi,6.4,1978,Polish,Maya Johansson
Riddle of Caldera,Horror,3.9,1977,Bengali,Kenji Levy
Haunted Echo,Western,6.7,2006,Russian,Piotr Khan
Return to Vesper,Comedy,9.2,1962,Thai,Li Zhang
Chasing the Echo,Musical,7.1,2021,Korean,Marta Nguyen
The Fading Feather,Crime,4.6,2002,French,Luca Gupta
16 Days in Solace,Mystery,5.9,1993,Polish,Kenji Kapoor
Lone Riddle,Western,7.8,1996,Romanian,Seojun Levy
33 Days in Ravenna,Western,5.0,1966,Tamil,Chang Singh
Return to Nerida,Thriller,6.4,1986,Filipino,Nadia Petrov
The Restless Voyage,Fantasy,7.5,2015,Hindi,Yara Petrov
Song of Avalon,Comedy,5.2,2018,Romanian,Li Kapoor
Pulse of Valoria,Sport,3.9,1950,Polish,Kenji Kuznetsov
The Eternal Beacon,War,8.6,1992,Portuguese,Omar Ionescu
Chronicle of Solace,Action,7.0,1980,Danish,Ravi Iyer
Secret Harbor,Sci-Fi,3.2,1966,Hindi,Priya Costa
Return to Lunaris,Biography,4.5,2012,Vietnamese,Ali Kuznetsov
Breaking the Odyssey,Drama,9.1,1972,Filipino,Noah Rossi
Embracing the Garden,Action,4.0,1980,Hebrew,Jonas Romero
Return to Drakenfell,Animation,4.7,1979,Mandarin,Priya Horváth
7 Days in Caldera,Historical,7.9,1974,Bulgarian,Aisha Hansen
Fierce River,Action,4.2,1960,Korean,Anika Sharma
Empire of Solace,War,5.6,1969,Swedish,Aisha Rossi
9 Days in Nerida,Animation,5.8,2006,Cantonese,Hiro Nguyen
Unlocking the Labyrinth,Fantasy,7.4,1989,Spanish,Maya Patel
Unlocking the Riddle,War,7.8,2000,Portuguese,Jonas Kapoor
The Midnight Beacon,Fantasy,3.1,1977,Bulgarian,Ali Gupta
Return to Aramore,Romance,8.8,1957,Swedish,Elena Hansen
Silent Canvas,Documentary,8.5,1976,Korean,Fatima Basu
Crown of Caldera,Comedy,7.0,1998,Polish,Isha Fernandes
Mask of Orion,Thriller,5.4,1971,Portuguese,Ananya Petrescu
The Golden Crown,Romance,7.3,2016,Mandarin,Jiwoo Novak
The Secret Echo,Musical,6.6,1979,Portuguese,Mikhail Nakamura
13 Days in Ravenna,Drama,4.2,1979,Marathi,Seojun Ivanov
Shattered Song,Family,3.3,1997,Marathi,Aarav Johansson
Chasing the Chronicle,Family,5.2,1950,Finnish,Sofia Horváth
The Ancient Chronicle,Action,6.9,1977,Finnish,Lucia Zhang
Silent Voyage,Family,7.2,2016,Filipino,Ingrid Kapoor
16 Days in Aramore,Documentary,4.3,1994,Japanese,Mikhail Kuznetsov
Legacy of Solace,Adventure,6.9,2009,Filipino,Noah Petrov
Defying the Pulse,Thriller,3.8,1968,English,Chang Verma
Awakening the Voyage,Sport,6.6,2019,Serbian,Ali Hansen
Seeking the Path,Comedy,8.8,2005,Hindi,Li Petrescu
Breaking the Garden,Mystery,4.3,2007,Kannada,Maya Verma
Riddle of Valoria,Adventure,4.0,1955,Italian,Ananya Hansen
Return to Caldera,Crime,5.0,1954,Vietnamese,Sofia Levy
16 Days in Valoria,Musical,4.4,1963,Polish,Isha Garcia
9 Days in Eldoria,War,6.0,1987,Persian,Carlos Ivanov
Fierce Chronicle,Musical,6.5,1962,Bulgarian,Jamal Sharma
8 Days in Aramore,Animation,2.2,2000,Polish,Fatima Ionescu
Remembering the Path,Fantasy,7.2,2023,Czech,Aarav Singh
Mirror of Kandara,Crime,8.3,1976,Bulgarian,Aarav Rossi
The Secret Path,Drama,7.9,1964,German,Omar Singh
10 Days in Drakenfell,Romance,6.0,2006,Korean,Fatima Khan
Shattered Myth,War,3.7,2010,Greek,Noah Silva
Return to Lunaris,Action,7.4,1996,Swedish,Jamal Levy
Whisper of Eldoria,Sci-Fi,7.1,1972,Filipino,Sofia Papadopoulos
Unlocking the Mirror,Documentary,7.6,1994,Bulgarian,Mikhail Petrov
Awakening the Legacy,Documentary,4.6,1999,Portuguese,Marta Singh
River of Ravenna,Fantasy,3.2,1973,Swedish,Anika Yamamoto
5 Days in Kandara,Family,7.1,2014,Marathi,Zara Levy
Crown of Nerida,Adventure,4.8,2000,Russian,Isha Ivanov
Becoming the Garden,Musical,2.3,1956,Norwegian,Seojun Nakamura
Bright Fortress,Documentary,8.6,2004,Bengali,Aisha Kapoor
21 Days in Orion,Sci-Fi,7.8,1991,Malayalam,Ravi Yamamoto
Silent Riddle,Romance,5.4,2005,Mandarin,Luca Kuznetsov
Return to Ravenna,Action,7.6,1995,Arabic,Aarav Yamamoto
Leaving the Myth,Biography,7.6,1997,French,Omar Iyer
Return to Drakenfell,Mystery,8.6,1975,Polish,Aarav Horváth
The Sacred Empire,Horror,8.7,1965,Thai,Elena Novak
8 Days in Vesper,War,6.1,1961,Telugu,Vikram Khan
Beacon of Eldoria,Crime,5.2,1950,Hindi,Omar Petrescu
Frozen Storm,Musical,4.5,1986,Polish,Anika Nakamura
Dark Storm,Musical,7.9,1958,Indonesian,Anika Costa
Remembering the Storm,Western,1.7,1957,Dutch,Chang Horváth
Return to Veridian,Western,6.6,1996,Portuguese,Arun Kim
Leaving the Voyage,Adventure,5.1,2021,Bengali,Kenji Sharma
9 Days in Veridian,Animation,6.0,1978,Danish,Jamal Nowak
Saving the Labyrinth,Family,8.6,1953,Turkish,Ravi Nakamura
Brave Labyrinth,Documentary,2.8,2008,Thai,Elena Sheikh
Crossing the Empire,Sport,5.0,1953,Italian,Elena Petrescu
Return to Aramore,Horror,8.5,2009,Bulgarian,Jiwoo Petrov
The Hidden Canvas,Romance,6.7,2020,Thai,Neha Sheikh
21 Days in Eldoria,Western,4.5,1999,Bulgarian,Lea Petrov
Return to Kandara,Action,8.9,1993,Turkish,Noah Kowalski
Empire of Avalon,Crime,6.1,1973,Czech,Zara Novak
The Brave Storm,Thriller,4.6,1990,Romanian,Ali Rossi
The Fierce Song,War,6.5,1973,Korean,Jamal Ionescu
10 Days in Kandara,Crime,3.6,1978,Hebrew,Nadia Silva
The Fading River,Horror,4.5,1978,Bulgarian,Mina Hansen
12 Days in Vesper,Musical,5.3,2024,Cantonese,Priya Haddad
Seeking the Garden,Western,6.3,2008,Hindi,Arun Singh
Seeking the Labyrinth,Adventure,4.8,2008,English,Sofia Iyer
Return to Avalon,Western,7.6,2012,Portuguese,Ananya Petrescu
The Crimson Orbit,Crime,5.9,1963,English,Lea Fernandes
The Golden Horizon,Fantasy,7.4,2017,Hungarian,Aarav Sheikh
Saving the Dream,Romance,7.1,2002,Persian,Hiro Khan
Myth of Ravenna,Sci-Fi,3.1,1967,Tamil,Mikhail Ionescu
Leaving the River,Fantasy,8.2,2005,Serbian,Hiro Chakraborty
Chasing the Crown,Action,5.6,2000,Spanish,Carlos Ivanov
Embracing the Promise,Mystery,3.6,1954,Ukrainian,Omar Silva
The Fallen Mask,Action,5.0,1992,Bengali,Zara Basu
The Haunted Whisper,Fantasy,6.0,1965,Serbian,Seojun Iyer
40 Days in Avalon,Fantasy,7.3,2000,Thai,Jonas Basu
The Last Pulse,Horror,9.4,1981,Turkish,Nadia Patel
Return to Arcadia,War,5.7,1970,Portuguese,Priya Nguyen
5 Days in Kandara,Musical,8.2,1997,Romanian,Luca Ionescu
The Broken Pulse,War,5.2,1999,Vietnamese,Seojun Horváth
Breaking the River,Sport,8.3,1966,Mandarin,Li Singh
21 Days in Valoria,Thriller,9.5,1969,Portuguese,Seojun Garcia
Unlocking the Whisper,Historical,2.2,2009,Marathi,Vikram Rossi
Empire of Avalon,Musical,4.1,2003,Italian,Chang Sheikh
The Golden Dream,Adventure,6.6,2009,Bengali,Priya Gupta
Defying the Voyage,Musical,6.8,1959,Indonesian,Chang Basu
Lone Myth,Family,4.1,2013,Mandarin,Carlos Chakraborty
Return to Kandara,Drama,5.8,1999,Malayalam,Aarav Petrescu
Becoming the Promise,Biography,2.9,1982,Persian,Lucia Santos
Secret Path,Sport,6.3,2000,Norwegian,Rohan Gupta
Haunted Song,War,2.8,2012,Korean,Anika Zhang
10 Days in Lunaris,Historical,7.6,1988,Telugu,Lucia Fernandes
Return to Kandara,Musical,7.4,1994,Arabic,Ravi Kowalski
The Bright Empire,Family,5.2,1980,Malayalam,Ingrid Kim
The Sacred Echo,Musical,1.8,1982,Hungarian,Diego Zhang
Dream of Avalon,Comedy,5.4,1969,Danish,Sofia Chakraborty
8 Days in Arcadia,Historical,5.4,1988,Romanian,Rohan Tanaka
Becoming the Pulse,Biography,6.9,2020,Serbian,Anika Park
Defying the Labyrinth,Sci-Fi,8.5,1996,Turkish,Li Johansson
The Hidden Mask,Musical,7.2,1977,Persian,Zara Nowak
Dream of Valoria,Crime,8.0,1999,Telugu,Maya Nguyen
Return to Kandara,Historical,5.9,2005,Ukrainian,Diego Haddad
The Emerald Odyssey,Sci-Fi,4.8,1981,English,Fatima Zhang
Ancient Feather,Western,9.4,1967,Hungarian,Ali Petrescu
The Azure Mask,Romance,5.8,1957,Polish,Vikram Verma
Return to Lunaris,Crime,8.6,1974,Cantonese,Anika Chakraborty
The Haunted Odyssey,Crime,1.6,2016,Arabic,Chang Romero
The Burning Labyrinth,Crime,6.3,1969,Filipino,Karan Romero
Return to Ravenna,Family,4.4,1989,Bulgarian,Rohan Hansen
Return to Nerida,Historical,8.3,1950,Arabic,Neha Novak
Riddle of Kandara,Romance,9.0,1973,Turkish,Kenji Petrescu
21 Days in Arcadia,Fantasy,5.1,2024,Norwegian,Aisha Singh
8 Days in Vesper,Documentary,8.1,1972,Kannada,Karan Sarkar
Burning Harbor,Sport,7.2,2020,Polish,Priya Kuznetsov
Fierce Whisper,Romance,4.7,2019,Serbian,Mikhail Petrescu
The Midnight Song,Historical,6.9,1999,Portuguese,Aisha Petrescu
Emerald Whisper,Comedy,6.7,2007,Hindi,Maya Haddad
Return to Eldoria,Thriller,8.9,1971,Mandarin,Maya Yamamoto
Orbit of Eldoria,War,2.6,1966,Portuguese,Fatima Nowak
Seeking the Horizon,Romance,4.9,1967,Vietnamese,Jonas Silva
Harbor of Kandara,Mystery,4.7,1957,Turkish,Jonas Iyer
Return to Lunaris,Family,6.8,1993,French,Maya Costa
Return to Arcadia,Musical,7.7,2017,Kannada,Diego Fernandes
Legacy of Ravenna,Sci-Fi,6.8,1981,Tamil,Hiro Levy
Beacon of Orion,Biography,7.2,1988,Indonesian,Luca Haddad
33 Days in Solace,Historical,5.4,1952,Telugu,Omar Petrov
The Fallen Empire,War,3.4,1962,Hebrew,Jamal Sharma
Brave Echo,Sport,5.4,1983,Hungarian,Karan Nakamura
Seeking the Chronicle,Noir,6.2,1970,Bengali,Mina Fernandes
Crimson Promise,Family,6.8,2016,Ukrainian,Carlos Basu
Awakening the Flame,Romance,6.7,2010,Dutch,Rohan Sharma
Sacred Odyssey,Sport,5.7,2008,Bulgarian,Vikram Sarkar
Fallen Canvas,Sport,7.3,1982,Portuguese,Ravi Costa
The Burning Canvas,Animation,9.8,1967,French,Fatima Nguyen
Shadow of Valoria,Musical,6.3,2004,Swedish,Ali Sarkar
Remembering the Fortress,Family,5.9,1983,Ukrainian,Yara Levy
Return to Orion,Sci-Fi,8.1,1955,Finnish,Sofia Fernandes
Defying the Voyage,Fantasy,6.9,2013,Filipino,Aisha Tanaka
The Curious Beacon,Musical,7.5,1982,Bulgarian,Nadia Yamamoto
Secret Promise,Animation,7.5,1985,Bulgarian,Noah Nakamura
Bright Riddle,Crime,6.1,1983,Filipino,Jonas Gupta
Return to Solace,Animation,6.1,1986,Arabic,Zara Khan
Crimson Shadow,Sci-Fi,6.3,2005,Spanish,Marta Kuznetsov
Leaving the Beacon,Horror,8.9,2024,Greek,Piotr Chakraborty
Crossing the Path,Family,6.0,2013,Hungarian,Noah Petrov
Return to Vesper,Biography,7.8,1950,Hindi,Vikram Gupta
The Last Pulse,Adventure,5.1,2018,Danish,Omar Sarkar
Fierce Path,Action,3.2,2025,Arabic,Lea Chakraborty
The Burning Riddle,Action,6.3,1998,Mandarin,Neha Nguyen
9 Days in Eldoria,Noir,5.5,1992,Hungarian,Karan Yamamoto
8 Days in Kandara,Crime,6.2,1983,Norwegian,Aisha Levy
Saving the Pulse,Sport,7.1,1989,Norwegian,Lea Costa
The Burning Harbor,Documentary,8.9,2011,Arabic,Jamal Nguyen
Return to Drakenfell,Adventure,7.6,1985,Dutch,Nadia Fernandes
Wild River,Drama,7.1,1960,Ukrainian,Jiwoo Novak
Return to Kandara,Action,3.5,2025,Kannada,Anika Verma
The Emerald Fortress,Mystery,6.9,2019,Polish,Ravi Silva
Beacon of Solace,Adventure,5.0,2007,Hindi,Noah Sarkar
27 Days in Eldoria,Sci-Fi,7.3,1969,Spanish,Marta Santos
Song of Avalon,Crime,3.8,2019,Filipino,Vikram Fernandes
Song of Nerida,Family,3.1,2009,Marathi,Luca Papadopoulos
Becoming the Horizon,Romance,2.9,2021,Filipino,Omar Kim
The Last Chronicle,Romance,6.3,1998,Polish,Rohan Gupta
4 Days in Aramore,Fantasy,9.1,1994,Hungarian,Aarav Levy
Curious Orbit,Musical,6.0,1951,English,Elena Nakamura
The First River,Adventure,7.8,2006,Hebrew,Noah Petrescu
Finding the Fortress,Mystery,3.7,2001,Swedish,Yara Yamamoto
Hidden Crown,Western,6.1,1996,Indonesian,Chang Verma
Crossing the River,Romance,3.8,1983,Malayalam,Nadia Costa
3 Days in Caldera,Action,9.5,2001,Marathi,Jamal Sharma
The Sacred Labyrinth,War,6.5,2005,Romanian,Kenji Nowak
Return to Solace,Family,1.8,1977,German,Jiwoo Novak
Harbor of Valoria,Historical,8.4,1968,Italian,Jamal Petrov
4 Days in Caldera,Sport,7.3,1953,Finnish,Aarav Gupta
The Azure Feather,Biography,6.2,1965,Telugu,Chang Costa
Finding the River,Horror,7.9,2021,Bulgarian,Marta Nakamura
Remembering the Echo,Western,7.0,1982,Telugu,Elena Chakraborty
7 Days in Drakenfell,Historical,8.3,1972,Japanese,Noah Patel
Haunted Riddle,Comedy,6.3,2014,Mandarin,Kenji Park
Breaking the Harbor,War,6.5,1950,Finnish,Mina Nguyen
